area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Пресненский,1-й Красногвардейский проезд,3.0,Новостройка / Апартаменты,39.0,,На улицу,Без отделки,Монолитный,,,,2020.0,Сдан,"Без отделки, чистовая",855000.0,свободная продажа,https://www.cian.ru/sale/flat/302833897/,,,
Хамовники,ул. Усачева,12.0,Вторичка,32.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитно-кирпичный,Подземная,,20.0,,,,1005025.0,свободная продажа,https://www.cian.ru/sale/flat/305506274/,,,
Замоскворечье,Пятницкая ул.,10.0,Вторичка / Пентхаус,35.0,3 совмещенных,На улицу и двор,Евроремонт,Кирпичный,Наземная,142.0,25.0,,,,903226.0,свободная продажа,https://www.cian.ru/sale/flat/305024471/,возможна,,
Пресненский,1-й Красногвардейский проезд,3.0,Новостройка / Апартаменты,39.0,,На улицу,Без отделки,Монолитный,,,,2020.0,Сдан,"Без отделки, чистовая",855000.0,свободная продажа,https://www.cian.ru/sale/flat/302833892/,,,
Таганский,ул. Солянка,5.0,Вторичка,372.0,4 совмещенных,На улицу и двор,Без ремонта,Монолитный,,,20.0,,,,1994552.0,свободная продажа,https://www.cian.ru/sale/flat/302590854/,,,
Филевский,Звенигородская ул.,15.0,Вторичка,32.0,3 раздельных,Во двор,Дизайнерский,Кирпичный,,,60.0,,,,701149.0,свободная продажа,https://www.cian.ru/sale/flat/294622707/,возможна,,
Таганский,Тессинский пер.,14.0,Новостройка,32.0,,,Без отделки,Монолитно-кирпичный,Подземная,,,2023.0,Сдан,"Без отделки, черновая",1544000.0,свободная продажа,https://www.cian.ru/sale/flat/294641869/,,7.6,
Раменки,Мосфильмовская ул.,16.0,Вторичка,32.0,2 совмещенных,Во двор,Дизайнерский,Монолитный,Подземная,150.0,20.0,,,,553846.0,свободная продажа,https://www.cian.ru/sale/flat/299738531/,возможна,,
Нагатино-Садовники,Нагатинская ул.,18.0,Вторичка,27.0,,На улицу,Евроремонт,Панельный,Наземная,,36.3,,,,326975.0,свободная продажа,https://www.cian.ru/sale/flat/307393893/,возможна,,
Красносельский,просп. Академика Сахарова,7.0,Новостройка / Апартаменты,32.0,2 совмещенных,,Чистовая,Монолитно-кирпичный,Подземная,69.3,20.1,2024.0,Сдан,Чистовая,870000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/301801790/,возможна,8.2,
Хамовники,Курсовой пер.,8.0,Вторичка / Апартаменты,39.0,3 совмещенных,,Дизайнерский,Монолитный,Подземная,,,,,,2000000.0,свободная продажа,https://www.cian.ru/sale/flat/302627595/,возможна,,
Куркино,Юровская ул.,,Вторичка,,,,,Монолитный,,,,,,,344444.0,свободная продажа,https://www.cian.ru/sale/flat/307986897/,,,
